,Open,High,Low,Close,Volume
2025-06-18 04:15:00,597.3897,597.4295,597.3298,597.3897,1035
2025-06-18 04:16:00,597.3996,597.4595,597.3697,597.4096,1122
2025-06-18 04:17:00,597.3996,597.4096,597.3398,597.3398,491
2025-06-18 04:18:00,597.29,597.3298,597.28,597.3298,1045
2025-06-18 04:19:00,597.27,597.3199,597.27,597.3199,73
2025-06-18 04:20:00,597.28,597.28,597.0208,597.0208,6191
2025-06-18 04:21:00,597.0706,597.0806,596.941,597.0806,3504
2025-06-18 04:22:00,597.0407,597.1803,597.0307,597.1803,429
2025-06-18 04:23:00,597.1803,597.1803,597.0606,597.0806,259
2025-06-18 04:24:00,597.0008,597.2401,597.0008,597.2301,6691
2025-06-18 04:25:00,597.2102,597.2501,597.2102,597.2501,215
2025-06-18 04:26:00,597.27,597.3398,597.27,597.3298,157
2025-06-18 04:27:00,597.2401,597.2401,597.1404,597.1903,1420
2025-06-18 04:28:00,597.2301,597.29,597.2301,597.27,497
2025-06-18 04:29:00,597.1803,597.1803,597.1803,597.1803,11
2025-06-18 04:30:00,597.1703,597.2002,597.1703,597.1703,109
2025-06-18 04:31:00,597.2202,597.2202,597.1504,597.1803,44
2025-06-18 04:32:00,597.2002,597.2301,597.1903,597.2301,94
2025-06-18 04:33:00,597.2202,597.2301,597.2002,597.2002,331
2025-06-18 04:34:00,597.1703,597.2601,597.1504,597.2601,1115
2025-06-18 04:35:00,597.2501,597.3199,597.2301,597.3099,54
2025-06-18 04:36:00,597.2601,597.3099,597.2601,597.3099,330
2025-06-18 04:37:00,597.2501,597.2601,597.1903,597.1903,721
2025-06-18 04:38:00,597.2102,597.28,597.1404,597.28,637
2025-06-18 04:39:00,597.3199,597.3199,597.3199,597.3199,10
2025-06-18 04:40:00,597.28,597.28,597.2401,597.2501,64
2025-06-18 04:41:00,597.3298,597.3298,597.2301,597.2601,188
2025-06-18 04:42:00,597.2401,597.28,597.2202,597.2202,158
2025-06-18 04:43:00,597.2202,597.2401,597.2202,597.2401,84
2025-06-18 04:44:00,597.2401,597.28,597.1703,597.28,527
2025-06-18 04:45:00,597.2501,597.2501,597.2501,597.2501,100
2025-06-18 04:46:00,597.3298,597.3697,597.3199,597.3697,1160
2025-06-18 04:47:00,597.4295,597.4794,597.3996,597.4794,1265
2025-06-18 04:48:00,597.5093,597.5093,597.4295,597.4295,2062
2025-06-18 04:49:00,597.3996,597.3996,597.3298,597.3697,361
2025-06-18 04:50:00,597.3797,597.3797,597.3398,597.3697,797
2025-06-18 04:51:00,597.3398,597.3797,597.3298,597.3697,991
2025-06-18 04:52:00,597.3996,597.4096,597.3697,597.3996,251
2025-06-18 04:53:00,597.4096,597.4196,597.4096,597.4196,5
2025-06-18 04:54:00,597.3897,597.4694,597.3897,597.4595,319
2025-06-18 04:55:00,597.4894,597.619,597.4694,597.619,3425
2025-06-18 04:56:00,597.629,597.6988,597.629,597.6389,722
2025-06-18 04:57:00,597.6788,597.6988,597.5791,597.5791,245
2025-06-18 04:58:00,597.619,597.629,597.5592,597.599,2680
2025-06-18 04:59:00,597.629,597.629,597.599,597.599,180
2025-06-18 05:00:00,597.5891,597.6988,597.5791,597.6988,582
2025-06-18 05:01:00,597.6888,597.7785,597.6888,597.7586,1916
2025-06-18 05:02:00,597.7785,597.8483,597.7685,597.8383,2767
2025-06-18 05:03:00,597.8284,597.9281,597.8284,597.8682,1787
2025-06-18 05:04:00,597.938,598.2272,597.938,598.0776,13983
2025-06-18 05:05:00,598.0776,598.287,598.0776,598.2372,2533
2025-06-18 05:06:00,598.1873,598.2172,598.0677,598.0776,4937
2025-06-18 05:07:00,598.0976,598.1275,598.0477,598.0976,681
2025-06-18 05:08:00,598.0776,598.1275,598.0278,598.1275,868
2025-06-18 05:09:00,598.0976,598.0976,597.9181,597.9181,2128
2025-06-18 05:10:00,597.9081,597.948,597.8583,597.8583,261
2025-06-18 05:11:00,597.8782,597.9879,597.8782,597.9879,117
2025-06-18 05:12:00,597.958,597.958,597.8184,597.8284,757
2025-06-18 05:13:00,597.8483,597.8782,597.8383,597.8583,471
2025-06-18 05:14:00,597.8782,597.9081,597.8682,597.8682,361
2025-06-18 05:15:00,597.9281,597.9779,597.8982,597.9779,747
2025-06-18 05:16:00,598.0278,598.0278,597.938,598.0278,3140
2025-06-18 05:17:00,598.0178,598.0377,597.9879,597.9879,1327
2025-06-18 05:18:00,598.0078,598.0178,598.0078,598.0178,83
2025-06-18 05:19:00,598.0577,598.0677,598.0178,598.0377,197
2025-06-18 05:20:00,597.9779,598.0178,597.9281,597.9281,124
2025-06-18 05:21:00,597.958,597.968,597.8982,597.9081,706
2025-06-18 05:22:00,597.8982,597.9281,597.8184,597.8284,514
2025-06-18 05:23:00,597.8284,597.8284,597.7586,597.7586,592
2025-06-18 05:24:00,597.8284,597.8483,597.8284,597.8483,24
2025-06-18 05:25:00,597.8882,597.8982,597.8882,597.8882,289
2025-06-18 05:26:00,597.8184,597.8483,597.7985,597.8483,470
2025-06-18 05:27:00,597.8383,597.8483,597.8184,597.8483,309
2025-06-18 05:28:00,597.8583,597.9281,597.8583,597.9281,271
2025-06-18 05:29:00,597.8583,597.8682,597.8284,597.8284,146
2025-06-18 05:30:00,597.8284,597.8483,597.8284,597.8483,14
2025-06-18 05:31:00,597.8682,597.9181,597.8682,597.9181,22
2025-06-18 05:32:00,597.9281,597.9979,597.8682,597.938,2442
2025-06-18 05:33:00,597.8982,597.8982,597.619,597.619,3943
